id,qid1,qid2,question1,question2,labels
520,1038,1039,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,PERSONAL LOAN AND WORK TERMINATION. I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,0
521,1040,1041,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,Park House School. Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,0
522,1042,1043,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,Medical Exam on arrival in Doha. Hi I have been told by my employer we all have to have a medical exam prior to commencing employment in Doha.....what does this involve - does anyone know? I have been told I can have mine the day I arrive and then start work 2 days after I am interested to know what exactly they test for! Anyone know? Is this a usual thing in Qatar? Thanks S,0
523,1044,1045,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,AFTER RESIGNATION BENIFITS AS PER QATAR LAW. I AM WORKING IN QATAR ON LAST 6 YEARS; MY PRESENT SALARY 5000 QR; I WOULD LIKE TO RESIGN FROM MY JOB AND SETTLE BACK TO MY NATIV COUNTRY; CAN U PLEASE ADVISE ME WHAT KIND OF BENEFITS I CAN EXPECT ACCORDING TO QATAR LABOR LAW. (IS IT COMPANY CAN GIVE THE GRATUITY TOGETHER WITH MONTHLY SALARY IS IT ALLOW BY THE LAW HERE) IF I GO LEGAL ACTION AGAINST COMPANY ANY USE?? PLEASE ADVISE,0
524,1046,1047,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,"""LEAVING QATAR?. MOST IMPORTANT QUESTION TO QL MEMBERS........ """"PEOPLE ARE LEAVING QATAR BECAUSE OF RISE IN RENT AND COST OF LIVING"""". I ALSO HEARD THAT LOTS OF PEOPLE WITH FAMILIES SHIFTING FROM QATAR TO OTHER PLACES. SCHOOLS IN QATAR ALSO FACING PROBLEMS WITH DISCONTINUATION IN ATTENDANCE ROLL.IS IT TRUE?""",0
525,1048,1049,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,Sending Fillipino maid home for vacation. Hi - we are planning to send our maid back to Phillipines for a holiday. What do I need to do in order to ensure sje can come back? - I plan to visit the Phillipine labour office (she came through an agency but I have no contract with her so want to see if I need this done first) - Then apply for exit permit (can I do this online?) - Then I hear I need something like a re enty visa? Any one know what this is and how to get one? Thanks!,0
526,1050,1051,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,Doha School Places September 2012. Hi everyone; my Husband has just got a Job with Qatar Airways and i'm hoping to get my three children into a British School in Doha in September 2012; i need a place in Year 3; Year 2 and Reception. can anybody advise on how likely that is ? i'm not sure if i should stay in the UK until i can get the children into a School or could that be a really long wait ??? any information would be greatly received; Many Thanks XX,0
527,1052,1053,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,basic salary for Philipino miad?. I tried searching on this topic; but I falied to find an answer. What is the basic salary for a Filipino maid if I hire through an agency?,0
528,1054,1055,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,The new QL: Copy & Paste Newsarticles. It seems that most posts these days are copy & paste jobs of upsetting / sad / negative news from newspapers. Is this all we can come up with? Where are happy and cheerful news and posts? I miss those days...,0
529,1056,1057,have it or don't leave the house at all. What are the things you must do or have before leaving your house??,Painting home. So; how much it should cost to paint a 3BHK house if all the washable paints are used? In 2 bedrooms the coloring man is going to use the computer mix shade (What's this). So; if you are having any kind of painting experience please share with me; with an estimate of course.,0
530,1058,1059,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Moving from Dubai to Doha. My family and I are moving to Doha in August. We want to bring our 2 jeeps with us. I would like to drive both from Dubai to Doha. Can anyone tell me the procedure and paperwork needed? Also; can I drive my wife's car or can a friend drive it for her? And finally can I bring some of our personal effects with us in the car? If anyone can help with these questions that would be great.,0
531,1060,1061,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,From Dubai to Qatar. I've been offered a job in Qatar. The money seems great. Is the standard of living; cost of living the smae compared to Dubai? What about night life - Can 1 go out and have fun like in Dubai? Is their open beaches and park to chill and relax? What about living arrangements - Can I bring my fiance; whom I'll wed in December 2008 - Can we stay together? Please somebody - Help me decide. Brendan,1
532,1062,1063,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Bus from Doha to Dubai. Hi I want to travel to Dubai to meet a friend in IDD but travel by plane is expensive. Can anyone let me know if there is a bus service from Doha to Dubai. How to get a visa and what to do? Are there any tour operators who would provide a complete 4-5 days tour of Dubai that includes travel by bus; visa; cheap hotel etc.,0
533,1064,1065,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Expats buying property in Qatar. Have any expats on this forum either bought property in Qatar; or considered buying and then rejected - i.e zig zag towers; the Pearl etc ? I'm trying to evaluate whether or not this would be a good investment. What do you think are the potential risks and upsides ? If you have bought; what was your experience of the process and in hindsight; was it a good decision ? Regards,0
534,1066,1067,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Dubai - Paradise. Dubai: From riches to rags Just say the word Dubai and the images appear: impossible glass structures glistening in the year-round sun; perfect man-made beaches; yachts; private helicopters; malls and spreads of food that would satisfy Roman emperors - all the things huge amounts of new money can buy. But: http://news.bbc.co.uk/panorama/hi/front_page/newsid_7981000/7981320.stm Nothing new; eh?,1
535,1068,1069,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,What does Qatar need?. What do you think Qatar needs? -More entertainment? -concerts; theatres; sporting events; casinos? -More products? -Electronics; foods; automobiles? -More infrastructure? -Better roads; parks; landmarks? I am looking for some great insight; tell me what you think and it might just happen!!,0
536,1070,1071,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,PERSONAL LOAN AND WORK TERMINATION. I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,0
537,1072,1073,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Can I Enter Qatar if Blacklisted in UAE???. I have got a Visit Visa from Qatar; but now I heard from a friend of mine that if I have a Ban in UAE then I cannot enter Qatar. I was working in UAE and was fired during the crisis period; so I had to flee the Country without clearing my Credit Cards and Bank Loan debts. So naturally the Banks will go to court. Now if I wish to travel to Qatar; will it be possible? Waiting for your valuable comments............,0
538,1074,1075,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,From Abu Dhabi to Dubai. I would like to ask if anyone knows how much is the travel time from Abu Dhabi to Dubai by car. I heard one hour; then I was told it's 4-5 hours; so I would like to know from those who have been there. And is there too much traffic in Abu Dhabi as well?,0
539,1076,1077,Do You Think Qatar Will Be Like Dubai ?. Do You Think Qatar Will Be Like Dubai after how many Years????,Residency Test for Dubai. Ok; I'm not sure how much truth there is in this as I heard it on QBS last night and can't seem to find any articles about it; BUT; apprantely Dubai is passing a law requiring anyone applying for residency to pass a cultural awareness test. What says you? Good idea or Bad?,0
540,1078,1079,Is villagio open?. Just heard it from someone just a while ago. Is it true?,"""""""Is Villagio open?"""" official thread. This is the official - """"Is Villagio open yet?"""" thread. Please post all your """"Is Villagio open yet?"""" questions here. You can also post questions like """"When will Villagio open?""""; """"Why isn't Villagio open yet?"""" etc.""",1
541,1080,1081,Is villagio open?. Just heard it from someone just a while ago. Is it true?,Is Villagio Open. Hi All.. DO anyone have information about Villagio Cinema...When it will open ??,1
542,1082,1083,Is villagio open?. Just heard it from someone just a while ago. Is it true?,is villagio open today??. new to doha and not sure what the hours are with the holiday,1
543,1084,1085,Is villagio open?. Just heard it from someone just a while ago. Is it true?,villagio mall. are all the shops in villagio mall open? if not can you tell me which ones are already open thank you,1
544,1086,1087,Is villagio open?. Just heard it from someone just a while ago. Is it true?,Villagio mall reopens when???. Does anyone know that when the villagio mall will reopen and will it be shifted to some other place???? If yes; then which area??? Any idea or does anyone know about it??,1
545,1088,1089,Is villagio open?. Just heard it from someone just a while ago. Is it true?,Villagio stores & City Center NEW stores. Does anyone know what stores will be in the Villagio? When will it open? What new stores are being added to City Center?,1
546,1090,1091,Is villagio open?. Just heard it from someone just a while ago. Is it true?,theoretically; when will villaggio be open?. first and foremost my deepest sympathy and condolences to the the family who got affected by this recent tragedy. is it still possible for villaggio to open after this incident?,1
547,1092,1093,Is villagio open?. Just heard it from someone just a while ago. Is it true?,Gap Store in Villagio (Qatar). For all of you shoppers out there. On July 31; a GAP store opened in Villagio. It is at the end of the canal near the ice skating rink. The best part is; the prices are comparable to the original stores in the States. I just wanted to let everyone know. Also; a Banana Republic is opening soon in Villagio. Maybe an Old Navy is next?,1
548,1094,1095,Is villagio open?. Just heard it from someone just a while ago. Is it true?,"""Villaggio Cinema. Does anyone hae any updates or ideas when the cinema in Villagio will open (or any new cinema at that)? There's signs saying """"opening soon"""" around Villagio; but that ambiguous at best. I'm really itching to watch a good movie!""",1
549,1096,1097,Is villagio open?. Just heard it from someone just a while ago. Is it true?,Fitness First Gym at Villagio?. I read that they will open a branch at Villagio? can anyone inform me more about this? CANT WAIT IF TRUE! I literally live 2 min away from Villagio!!,1
550,1098,1099,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Why finding a job in Doha so hard?. Can somebody tell me how i get a good job in doha? i have an American passport and holding a husband visas; with a bachelor degree; speaking 3 languages; having a hard time to find a good job; i post my CV on many website including bayt.com and many more; but didn't get any respond. Thanks.,0
551,1100,1101,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Is it a good job offer?. Education:Business Adm. Exp.:8 years Job :management controller in Eur. Co in Qatar newly established. status: single. Basci Salary: 5500 QR Housing : provided by the co.(payed separetly&directly by the co.) Transp.: Car provided by the Co. One yearly ticket to home country. Plz advise is it a good offer and if not how much should be the basic slry to save some money.,1
552,1102,1103,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Is this a good job offer?. hi; A friend of mine has been offered a position in Doha with a broadcasting company. He has a family with one child. They have offered him the following: 15000 Riyals p/m 3 bed villa - furnished Education Medical Family Flight home (one per year) Do you think this is a good oppurtunity for them to move out to Doha and will they be able to save much? Thanks,0
553,1104,1105,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Job at Qatar Airways. Hi; I have an offer from Qatar Airways for a position as a business analyst. The basic salary is QR6000 and the housing allowance QR2500. I have four years of experience and am currently based in the UK. Looking at the other posts; this salary does not sound very good. Can anyone tell me whether one can live decently on this salary in Doha? Also; is Qatar Airways a good employer? Many thanks in advance for your opinion. Fabio,1
554,1106,1107,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Can a Hepatitis carrier work in Qatar?. I have a good job oppotunity in Qatar; but I'm a Hepatits B carrier; can I get the visa and RP? The job is a solar energy industry; and my company is a German company; and company want to send me to Qatar as a delegation to provide technical service to a Qatar company. And my condition is: Liver function is normal. 1.HBsAg is + 2.HBsAb is - 3.HBeAg is - 4.HBeAb is - 5.HBcAb is + And virous DNA is below the lower limited;is negative. Thanks.,0
555,1108,1109,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Ladies Tailor?. Does anyone know of a good ladies tailor in Doha? I&#39;m not too interested in ones who can only sew the standard black abaya/cloaks. I&#39;m looking for a tailor who can sew something more casual.... Thanks!,0
556,1110,1111,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Teaching English?. We are arriving in doha early March and have been thinking that I would like to teach english or something (don't know what the something is yet !) I know english is widely spoken so I am not sure how many opportunities there are for teaching english? Can anyone elaborate and explain what how i'd get started? Thanks !,0
557,1112,1113,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,IS ALFARDAN GROUP OF COMPANIES IN DOHA QATAR A GOOD EMPLOYER?. ANYONE KNOWS THIS COMPANIES? THEY ARE ENGAGE IN MARINE; REAL ESTATE; JEWELRY; CAR DEALERSHIP; EXCHANGE. IS IT WORTH TO WORK IN THEIR COMPANY?,0
558,1114,1115,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,Best company in Qatar. Friends... Which would be the best company to wrok for in qatar? Please share your thoughts...,1
559,1116,1117,How can i find agood job in qatar?. I am syrian girl living in syria but i have to find ajob in qatar because my fiance working in Qatar and i will get marry after one month and i will live in Qatar I graduated from Tourism institute i am only 20 years old what i have to do to find ajob in Qatar?,faculty salary at qatar university. I got an offer to work as a faculty at Qatar University. The offer include: FREE 3 Bedrooms villa. Fully furnished. FREE health care (including family members) 2-months paid summer holiday. Round trip holiday ticket 1 month salary gratuity in a year completion. interest free car loan (60;000) A monthly salary of QR 20;500. Would you please advice if this is a good job offer?,1
560,1118,1119,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,which is the best day n night cream?. As I'm very new to the city i find the whether dries up my skin.Anybody please suggest me a good one that retains my skin's moisture I've gt a normal skin.I dnt prefer any local ones.,0
561,1120,1121,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Good night dear QLers :-D. Wish you all a good night and sweet dreams.,0
562,1122,1123,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Calling all the night owls. QL is way too quiet! Is anyone awake out there ?,0
563,1124,1125,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Saturday nights in Doha? Qube nightclub?. Hi all! Me and some friends from london are looking to come over to Doha for a couple of weeks. Whats the party scene like on Friday and Saturday nights? I hear that in Qatar nobody goes out on saturday; is that true? Where would you go for RnB and hiphop? And Ive heard alot about a club called Qube is it any good? Any feedback would be welcome thanks!,1
564,1126,1127,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Qatar; Cold This Saturday Night. http://www.bbc.co.uk/weather/5day.shtml?world=2162 Wrap up warm this weekend; 2 degrees according to this link (BBC) at 6pm today.,0
565,1128,1129,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Photo walk in Doha?. Are there any groups of photographers arranging photo walks here in Doha? Although its getting hotter these days and would be difficult to do it in the day time... but still.. is there anyone out there??,0
566,1130,1131,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Terminated without NOC and with personal loan. I know this subject has been discussed before but I need real life examples or professional opinion please: Terminated from company; no intention to provide NOC; and personal loan from bank (with signed approval from sponsor to take the loan) which needs 3.5 years to be covered. What am I supposed to do? Anyone can help with real examples or legal opinion... Much appreciated!,0
567,1132,1133,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,When Does Good Afternoon Become Good Evening?. think harder..,0
568,1134,1135,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Good Morning friends....!. Hi; Good Morning guys have a nice day... how was your weekend? how are you all? May joy & Happiness accompany you throughout day & Night....,0
569,1136,1137,Qatar by day and by night. Hello...i'll be moving in Doha at the end of January 2010 and i want to know some details about the life there....during the day( prices at shopping malls; at caffees) at during the night( clubs and dating and women).....i'll appreciate any information you can give me.... Thank you for your answers.....,Daytime or Nightime Workout/Exercise?. Which works best for you; a daytime or nightime workout/exercise. Being a sleepy head its hard for me to wake up earlier. But in the evening i go home past 9p due to work schedule. But as medical advice I need to do some workouts. So I have to choose either in the morning or evening. Any advice?,0
570,1138,1139,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Newton British School or Sherborne.... Hi everybody; I'm moving to Qatar in the Summer as my Husband starts a job with Qatar Airways. I'm frantically trying to secure a school place which isn't easy. Does anybody know much about Newton British School or Sherborne ? or any good school that i will be able to get a place for; reception; year 2; year 3 for September. Any help will be greatly received; Many thanks Sarah XX,1
571,1140,1141,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,ACS Doha. We are relocating from South Africa in July and I have literally applied to all the British and American schools for my 4 years son and been refused by each of them. We have however been lucky to get a spot at ACS Doha. I know its a new school; but has anyone heard anything about it and is there confirmation of whether they follow American or British curriculum?,1
572,1142,1143,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,British Schools - Dilemma. Dilemma!! We are coming to Doha end of December and still have not secured schools for both my Children (5 yrs and 7 yrs old). We managed to secure 1 seat at DESS and they informed us that the younger is on a sibling waiting list. With this term coming to an end I am eager to secure a second place and currently looking elsewhere. Do you have any ideas for good British schools in Doha so I can have both children together?,0
573,1144,1145,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,"""Qatar is a poor country!. Quoting Fawzia Al Khater; the Head of the private schools' office at the SEC; """"Education is free for Qatari students in Independent Schools but the state cannot afford to finance the education of nationals studying in private schools."""" http://www.menafn.com/qn_news_story_s.asp?StoryId=1093370494 But they can bid for the WC 2022. What a 'poor' country!""",1
574,1146,1147,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,BEST PRIMARY SCHOOL IN DOHA. Hello; Can someone please let me know the best schools on Doha? I am a little worried; my son is 2 and want him to start preschool when he is 3; thus i am starting to look. I really had interest in sending him to Qatar Academy; but just found out that admissions is closed for non-qataris. I am a little upset. But can someone please tell me what my options are. Thanks; Tanu,0
575,1148,1149,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Seeking admission in DESS...please help. Dear everyone in this forum; I am an India and ny kids are currently studying in an Indian school in Doha. I want some information on DESS (Doha English Speaking school). I want to put both my child (aged 7 and 8) in DESS. I heard the school is very good. can you please suggest how should I prepare them for this? Is there any interview process? Any reference is accepted? Please help..,1
576,1150,1151,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Gulf English School ; any idea??. Hello all ; hope all is well I am trying to enroll my 2 children in Gulf English School in Algarraffa area; anyone knows anything about the school? there is no annual school reports system in Doha to read and compare english schools. I am single mum originally from the Middle East; but my children lived and educated in the UK and have very good english background; your help will be highly apprecited. thanking you susan,1
577,1152,1153,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Boarding school or Doha. Good evening ladies and Gentlemen; I might move to Doha by the end of the year. At the moment I am looking at both posibilities. From various posts I learned that it will be very difficult to get my daughter into DESS or the Doha Colege. She is 14; nearly 15 and is currently in 3rd year in Ireland. What would be the approximate cost for both schools and does someone know how long the waiting lists are? cheers Brain,0
578,1154,1155,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Parkhouse School - Review. Hiya; Does anyone have any kids in Parkhouse school that could give me a real good insight with regards to the teaching standards; etc please. Would the kids fit back into the UK system if they were to go back to UK? (sometime; lol) Any other comments appreciated. Thanks.,1
579,1156,1157,Sherborne Qatar. Has anyone else had problems dealing with the School? They seem very uncertain over so many important issues.,Best British School?. Looking to change my children's school; have either Doha Britsh or Doha College in mind. Can anyone please give me their opinions on both schools. I have a little time to play with so no problem re wait list etc Many thanks in advance.,1
580,1158,1159,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,How to spend time on weekends at Doha?. Gets very boring on weekends I guess...Last weekend was one of the slowest in a long time.I was waiting for it to get over.What do people do on weekends here?,1
581,1160,1161,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,THE BEST WAY TO SPEND YOUR WEEKEND. HEY EVERYONE.. CAN SOMEONE TELL ME WHAT WOULD BE THE BEST WAY TO SPEND THE WEEKEND??? LETS SEE WHO WOULD COME UP WITH THE BEST IDEA,1
582,1162,1163,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,What are you upto this weekend in Qatar?. Hey Everyone; What are you upto this weekend? Anything interesting going on? Anyone doing anything super exciting? Or are you just relaxing at home with family? Tell us how you spend your weekends by leaving a comment :),1
583,1164,1165,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,Happy Weekend To All.... we all need to relax on weekends;so whats your plan?,1
584,1166,1167,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,where to go on a weekend in Doha??. I am fed up from going to coffee shops or Souq Waqif every weekend... isn't there a nicer place to go and meet people??,1
585,1168,1169,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,Weekend. howes your Weekend & where u spend your day?,1
586,1170,1171,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,How was your weekend? (13th Friday?). How did you spend this unlucky day? I really had a bad they yesterday; although I don't believe in such things.,1
587,1172,1173,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,6000 QR Salary. Hello everyone; I have got an offer for 6000QR salary/month in a company in qatar for Graduate Engineer position. Is this salary sufficient? I have been provided shared accommodation and transport by the company. I think i have to spend for food. I'm a vegetarian. How much would be the living expenses for me. how much money i can save? Is this a decent salary for a bachelor in engineering company,0
588,1174,1175,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,5th Wedding aniversary ... any suggestions ??. Hi Guys; It's my 5th wedding anniversary today .. and I am really excited about it. I want to make it special for my wife. Any suggestions where should I take her for dinner? Some nice place with obviously good food and good ambiance ... Any suggestions will be highly appreciated.,0
589,1176,1177,How do you spend weekend in Qatar. Hey i am an Indian living in Qatar. What all are the entertainments in Qatar.,What do you do in the weekends?. We run out of ideas... we dont know what to do in the weekends anymore. We were thinking of a gateway; maybe staying at a hotel with our son for 2 days soon.. So tell us; as a family; what do you do in the weekends??????????????,1
590,1178,1179,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Looking for rent a car without passport and credit card?. Hi everybody; Could you advice me where can i rent car without giving my passport(coz i travel alot);and i dont ve credit card either. I want 2 rent a car automatic and full insurance.im new driver; gonna rent 1 st time.I dont know how can i choose. Thanks in advance,0
591,1180,1181,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Absolutely cheapest car rental company?. I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),1
592,1182,1183,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Rent a car. i went for rent a car; but the guy there ask to keep my passport. would any one share their experience?,1
593,1184,1185,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,where i can put the information for my car?. where i can put the information for my car? thanks for your reading~,1
594,1186,1187,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,What happens if I break my lease in Doha?. My lease in my current place ends in December; but frankly I'm sick of paying for my overpriced rent while all around me prices are dropping. I wonder if everyone knows what the legal repercutions are of skipping out on my lease?,0
595,1188,1189,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,business opportunities in Qatar. hi every one;please help me put in finding some business oppurtunities in Qatar. jus let me know what business Qatar is lacking?that you find missing from other GCC countries... any scope for new business or new style of doing the existing business. or the changes you expect in the current Qatar Market...,0
596,1190,1191,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Does anyone knows how the TRUTH RENT A CAR AND REAL ESTATE treat their clients/ customer. We used to rent at this company and it seems they dont want to return our deposit; they keep on making excuses everytime we call or visit their office. Any suggestions?,0
597,1192,1193,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Companies holding passports of expatriates. Is it illegal for companies to hold passports of expatriates in Qatar ? If yes how can it be reported as i see most of the companies here holding the passport of their employees ? Isn't it against the labour law in Qatar ?,0
598,1194,1195,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Qatar University. Hello everyone; I will be joining Qatar University by the end of August. Anyone have some idea; how is academic environment there? Also; I will be staying at University housing (yet don't know where); How is university housing facility-wise and for a family of three. Anyone of you living there?; plz write about your experience. I will appreciate you feed back. Thanks,0
599,1196,1197,I want to give my car on rent. Procedure to give my car on Rent I have a Toyota Corrolla; and I want to give it somebody on rent monthly Basis. What is the Procedure; rules and process for that. Plz give me advice. thank u,Shipments to Qatar. Hello All; We are moving to Qatar in August. Need advice on sending 2 separate household goods shipments. Any comments on that? What are the documents required to send a shipment; what is required to receive a shipment. Any information on household shipments and regulations would be appreciated. Thanks; Fitri,0
