id,qid1,qid2,question1,question2,labels
77,155,156,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,5 Nuns on leggy Barstool- I love it!. Should I be feeling guilty about it? Anyone else feels the same?,0
78,157,158,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,What is your Mother Tongue?. What is your Mother Tongue? How many languages do you know? My Mother tongue is Urdu Other Languages : English; Tamil ;hindi ; Arabic,0
79,159,160,my doubt. I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Best butter chicken in Doha is...?. I've been in Doha for quite a while now; but I still haven't experienced really authentic butter chicken like the ones you get in India. The butter chicken over here is a bit bland to serve the arabian palate and doesn't do the dish justice. Any suggestions where you can get the real deal? FYI I've been to Shaalimaar (the Indian restaurant near the airport); Bukhara and AliShaan but none of them cut it; for me at least.,0
80,161,162,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,Is there any buddha temple in Qatar ?. I just arrived at Qatar 3 days ago but I cannot find any temple to burn offering for thanks giving for safety arrival. ANyone know here ?,1
81,163,164,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,temple in doha. is there any temples in doha.in and around?,1
82,165,166,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,Indian gods. Hi all; I am taking up an assignment in Qatar and would like to know whether it is allowed to carry photos of Indian gods to Qatar?,1
83,167,168,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,That church in Abu Hamour.... Is this a beginning of a mutual friendship between Christianity and Islam in Qatar? I hope they're going to sell some Bibles in Villagio coz I can't find somebody sellin' it around here.,0
84,169,170,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,did i hear it right??. that there's gonna be a temple built here?,1
85,171,172,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,Masonic Lodge. Does anyone know if there is a Lodge in Qatar?,0
86,173,174,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,is there any baptist church there in qatar?. ,0
87,175,176,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,Sri Lanka. One question for those of you who have travelled to Sri Lanka on holidays and for them Sri Lankas here in Doha. How would you advise me to spend 10 days in Sri Lanka in August? How would you plan my itininary? I like nature; historical place; good street food; mountains; rivers. I will spend minimal time in the hotel. Thank you all for your advice.,0
88,177,178,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,END OF THE WORLD on DEC 21;2012--is it true??. http://forum.santabanta.com/showthread.htm?t=146018 . Guys; above link is about END OF THE WORLD BY DEC 21;2012 . Is it true??? Any proof with anybody out there,0
89,179,180,is there any temple in qatar ....... Hi; as most indians live in qatar.... is there any temple in qatar.....,Atheism in Qatar and in Muslim world. How is atheism regarded in Qatar and in the Muslim world in general? Do atheists in Qatar face official discrmination?,0
90,181,182,Who is the Best Hijacker here in QL?. Please Comment :),What is the best way to hijack a thread?. This is a new skill I am trying to master; how about some advise from some experts on the topic,1
91,183,184,Who is the Best Hijacker here in QL?. Please Comment :),Forum HiJackers. Now a days most of the times in QL you look up a forum and see the forum is hijacked by irrelevant posts Who do you think is the Hijacker NO 1 or QL Cyberjacker? Let us crown the king today.. haha Most importantly; how much do you think this hijacking is effecting QL ?,1
92,185,186,Who is the Best Hijacker here in QL?. Please Comment :),Is QL now the rizks and pajju show ?. It seems to me that EVERY topic is now getting hijacked by rizks and pajju. Im all for a bit of hijacking; cos it can lead to other discussions; but these two clowns just destroy every topic into a stupid dim witted conversation about bollox. C'mon guys; just dont hijack to get points; please add some ideas and thoughts into the chosen topic.,1
93,187,188,Who is the Best Hijacker here in QL?. Please Comment :),FINALLY HERE :). hello good people! how are you all doing? I am finally here and it is so awesome!! special thanks to KSA.. thank you for all your help and to everyone in general; you have already made my move so special. i look forward to meeting you all soon... i dont have enough points (according to some people for certain events) but I WILL MEET YOU!! lol!!! I start my first day of work today :( wish me luck! Take care.,0
94,189,190,Who is the Best Hijacker here in QL?. Please Comment :),Lucky to have this kind of wife..... http://www.youtube.com/watch?v=AuW9vMWfxZo&feature=player_embedded,0
95,191,192,Who is the Best Hijacker here in QL?. Please Comment :),"""Boys & Girls Lets start posting ur good idea Regarding each other. Q1> Suppose if u get a chance to be woman if u r man or vice versa then what bad thing u will remove from each other itself? My question is that if u become man from women then what will u remove bad thing regading women from ur habit as a being man or vice versa.......? """"IMPOSSIBLE"""" : it self says I M POSSIBLE ! Gotcha""",0
96,193,194,Who is the Best Hijacker here in QL?. Please Comment :),Dirty trick indeed!. Did you guys see the Qatarchat blogosphere? http://www.qatarchat.8m.com/rich_text_7.html It is each and every one of QL blogs. I already talked to the guy; his name is Abin; to take the blog list off the website. I dont mind my blog being there; but the least they could do was ask somebody for permission before doing it. If he or the web admins had asked Qatari's or Ahmd's permission; then i take my words back. Otherwise; trust me; I AM MIGHTILY PISSED!!!,1
97,195,196,Who is the Best Hijacker here in QL?. Please Comment :),Need a serious reply on this :). Can a foreigner obtain a firearm license in Qatar? I know most of you must ask why would I need a license in Qatar; but that's all together a different argument... Please answer only if you have understanding about arms and ammunition law of Qatar.,0
98,197,198,Who is the Best Hijacker here in QL?. Please Comment :),"""thanx for QL admin!. """"Thank You"""" ; QL for deleting my questions which was absolutely polite! anyone can answer WHY it was deleted? [mod note: your original question started something like: """"I'm lazy and can't be bothered using the search box"""". Sorry; poor excuse]""",0
99,199,200,Who is the Best Hijacker here in QL?. Please Comment :),I WANT TO GO CANADA. I WANT TO GO TO CANADA FOR JOB. HOW CAN I BEGIN MY PROCESS HERE IN QATAR? ANYBODY CAN SUGGEST ME?,0
